127.0.0.1 - - [14/Aug/2023:13:58:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Aug/2023:13:58:50 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:07:05 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 500 2148
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:11:16 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:12:15 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:13:00 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:13:50 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:15:01 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:15:46 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:16:35 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:17:50 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:18:22 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:19:12 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:19:49 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:20:49 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:21:31 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [14/Aug/2023:14:29:01 +0530] "GET /DynamicProject/UserRegistration.jsp HTTP/1.1" 200 1001
